theta,omega
-0.998946978955,0.110244857508
-1.805520203927,-1.037179818123
-1.730240589222,0.467421828177
-1.111963444885,0.075143347783
0.083213548263,-1.823101521751
2.910373295431,-0.962848785868
-2.991150459426,-0.397235306307
-3.102345866068,-0.837140814316
-1.206275485643,0.539172292772
-1.410636865300,0.539764135409
-0.874833637008,0.239785852861
-2.659135838997,-0.805557494975
-3.094338480383,-0.836928688833
-0.887062637569,0.359255959766
-2.543748490509,-0.808518463323
-2.631007823872,-0.787509661807
-2.952477121942,-0.811277546502
-2.632415299293,-0.375274675184
3.019087859045,-0.488439195575
-2.169777560435,-0.146641904548
-0.975855828539,0.117316493858
-2.011944782356,-0.942103056257
-2.259859758867,0.216204795443
-1.191809431546,0.048099680477
2.731096645812,-0.709741728084
-3.121479731676,-0.492291602096
-3.060953922752,-0.661366031837
-2.697067853002,-0.414222899118
-0.585691773519,-1.656225894689
-2.242326694314,-0.857732725527
0.848819016375,-1.765305233751
2.456660584917,-1.133157512920
-3.030322159873,-0.450323557308
3.042331070050,-0.847418476466
2.285955045775,-1.166478664716
3.117524789641,-0.554836211837
-2.553378740056,-0.330320740065
-1.174328791774,0.542933928098
-1.845607775127,0.422096614618
-1.173846427018,0.058487536554
2.134370077217,-1.143051312629
3.028984497174,-0.623135078801
-0.942349579500,0.169703181597
-2.259626581255,-0.856442857090
0.397487478295,-1.830573962309
2.637774214027,-1.073146834734
-2.889811611170,-0.341575871976
-2.374278832148,-0.816540222860
-1.206073356215,-1.360024937710
1.846006096138,-1.328182288983
2.771686213141,-0.827826480977
-2.979502120956,-0.389791518220
-3.048084098618,-0.826975522544
-1.570178960498,0.012224273196
-0.868830613541,0.243647069960
-2.690318806952,-0.806469130696
3.111584511972,-0.850698315120
2.285125954396,-1.255152329287
3.069844310853,-0.592927206547
-1.830686654793,-0.038724878833
-0.973518848829,0.125507370591
-2.030243198232,-0.934594308143
-2.374823170741,0.146721066142
-1.125293404440,0.060936013812
0.456367808903,-1.828749811514
2.601790221997,-1.087590770649
-2.914972231890,-0.361298147815
-2.648720586605,-0.786446522837
-3.013355617686,-0.821660960453
-2.032263601126,-0.096324452189
-1.004299080233,0.105858212404
-1.753275427776,-1.063691608685
-1.724139298727,0.469436420284
-1.108000876684,0.076326929746
-0.023810602635,-1.809785505294
3.034358371633,-0.917406555824
2.679714695313,-0.858473867076
-2.879355541831,-0.323343116224
-2.166203167891,-0.873805512253
2.583964748326,-0.819565989085
-2.880534352333,-0.326841805459
-2.201901472860,-0.862007169028
1.926191081523,-1.278088436498
2.836858444800,-0.775491084166
3.028339101381,-0.591444921879
-1.307276353766,0.049800171953
-1.357572571793,0.544817767211
-0.865613626114,0.310848125778
-2.688754472355,-0.806520672669
3.114703814257,-0.850222018745
2.323210159101,-1.239197932970
3.104313035892,-0.566006771518
-2.379474487095,-0.239283638856
-0.862957404230,0.219791519176
-2.724468290272,-0.808210670178
3.055499078425,-0.855048373922
2.252477544104,-1.194004243569
3.080291585251,-0.584011210887
-2.021623483475,-0.093021393723
-1.004594572866,0.105926916863
-1.750272721123,-1.065239342759
-1.724854969666,0.469189818484
-1.108463104958,0.076187787047
-0.011524967706,-1.811575791186
3.019248271942,-0.922681196350
2.789681861136,-0.773499420152
-3.117314206439,-0.489002341392
-3.084297333467,-0.679216956186
-2.421025404631,-0.259789253444
-0.847396680014,0.269844993728
-2.794201712125,-0.814457339384
3.050805094086,-0.807904312454
2.166722984748,-1.285576793280
2.976302092427,-0.666182747666
2.510177814308,-1.154789781356
-3.004173406770,-0.430588831343
3.089986900797,-0.851640656527
2.169426341011,-1.288353295115
